ufs_serial,run_id,wafer_no,split,health,reg_pred,risk,grade,anomaly_score,ci_low,ci_high,date
S00050,39,9,val,0.0,0.0029268028320986,LOW,grade1,33.9,0.0,0.013848,2025-11-20
S00051,12,21,train,0.0023918839575332,0.0013270492289126,LOW,grade1,40.6,0.0,0.012248,2025-10-18
S00052,12,20,train,0.0,0.0017871934108823,LOW,grade1,58.8,0.0,0.012708,2025-10-18
S00053,69,4,test,0.0023907448829881,0.0035072165520566,LOW,grade2,47.9,0.0,0.014428,2025-12-06
S00054,42,1,val,0.0,0.0034336471677026,LOW,grade2,40.7,0.0,0.014355,2025-11-21
S00055,41,16,val,0.0,0.0029195356292823,LOW,grade1,61.3,0.0,0.013841,2025-11-21
S00056,12,18,train,0.0024112401634015,0.0029722240777299,LOW,grade1,56.8,0.0,0.013893,2025-10-18
S00057,15,24,train,0.0,0.0029613431404102,LOW,grade1,80.6,0.0,0.013883,2025-10-23
S00058,12,18,train,0.0,0.0034909594082695,LOW,grade2,39.0,0.0,0.014412,2025-10-18
S00059,14,13,train,0.00240752581914,0.0029115461400697,LOW,grade1,50.9,0.0,0.013833,2025-10-21
S00060,72,18,test,0.0,0.0034723345187289,LOW,grade2,33.3,0.0,0.014394,2025-12-08
S00061,16,18,train,0.0,0.0034889823205302,LOW,grade2,33.8,0.0,0.01441,2025-10-25
S00062,16,15,train,0.0,0.002904404216375,LOW,grade1,43.2,0.0,0.013826,2025-10-25
S00063,16,18,train,0.0,0.0029358295367548,LOW,grade1,30.5,0.0,0.013857,2025-10-25
S00064,16,11,train,0.0,0.003444973097195,LOW,grade2,36.7,0.0,0.014366,2025-10-25
S00065,16,13,train,0.0,0.0034399893992583,LOW,grade2,34.9,0.0,0.014361,2025-10-25
S00066,72,14,test,0.0,0.0034795389676547,LOW,grade2,43.9,0.0,0.014401,2025-12-08
S00067,72,15,test,0.0,0.0029085778800382,LOW,grade1,39.5,0.0,0.01383,2025-12-08
S00068,16,14,train,0.0096413121496052,0.0034482469054783,LOW,grade2,30.9,0.0,0.014369,2025-10-25
S00069,13,8,train,0.0024141213958187,0.0034693328732279,LOW,grade2,20.9,0.0,0.014391,2025-10-20
S00070,72,16,test,0.0,0.0034107214175372,LOW,grade2,48.0,0.0,0.014332,2025-12-08
S00071,16,13,train,0.0,0.0035798344773627,LOW,grade2,59.2,0.0,0.014501,2025-10-25
S00072,13,10,train,0.0,0.0036052601996924,MED,grade3,30.3,0.0,0.014526,2025-10-20
S00073,41,8,val,0.0122814300823374,0.0034049962889957,LOW,grade2,74.2,0.0,0.014326,2025-11-21
S00074,69,6,test,0.0024555214648148,0.0034393564507901,LOW,grade2,30.2,0.0,0.014361,2025-12-06
S00075,13,6,train,0.0,0.0034673067664059,LOW,grade2,41.0,0.0,0.014389,2025-10-20
S00076,72,13,test,0.0,0.0034104714664031,LOW,grade2,42.4,0.0,0.014332,2025-12-08
S00077,41,5,val,0.0,0.0036244132659673,MED,grade3,20.6,0.0,0.014546,2025-11-21
S00078,69,10,test,0.0,0.0036236505270326,MED,grade3,30.6,0.0,0.014545,2025-12-06
S00079,13,4,train,0.0,0.0036179772553569,MED,grade3,19.4,0.0,0.014539,2025-10-20
S00080,13,10,train,0.0024551575598599,0.0035982601225987,MED,grade3,32.6,0.0,0.014519,2025-10-20
S00081,13,5,train,0.0048692551117381,0.0035840497105449,LOW,grade2,34.8,0.0,0.014505,2025-10-20
S00082,73,8,test,0.0,0.0029033985395276,LOW,grade1,59.0,0.0,0.013825,2025-12-08
S00083,45,14,val,0.0,0.0034382058927555,LOW,grade2,39.9,0.0,0.014359,2025-11-23
S00084,5,21,train,0.0,0.0035609201211971,LOW,grade2,38.5,0.0,0.014482,2025-10-07
S00085,32,23,val,0.0023872653563125,0.0021397651972997,LOW,grade1,26.4,0.0,0.013061,2025-11-16
S00086,5,20,train,0.0,0.0029566361109847,LOW,grade1,70.1,0.0,0.013878,2025-10-07
S00087,6,13,train,0.0071833265884257,0.0035932340268705,MED,grade3,34.3,0.0,0.014514,2025-10-09
S00088,34,7,val,0.0,0.0017477391178955,LOW,grade1,28.4,0.0,0.012669,2025-11-17
S00089,32,22,val,0.0,0.0030704161236548,LOW,grade2,48.3,0.0,0.013992,2025-11-16
S00090,60,25,test,0.0,0.003481152301455,LOW,grade2,25.8,0.0,0.014402,2025-12-01
S00091,32,23,val,0.0,0.0035043712663347,LOW,grade2,34.0,0.0,0.014426,2025-11-16
S00092,4,22,train,0.0,0.0029934139673563,LOW,grade2,29.4,0.0,0.013915,2025-10-05
S00093,61,19,test,0.0,0.0036059507496438,MED,grade3,45.3,0.0,0.014527,2025-12-02
S00094,33,15,val,0.0,0.0035675915015757,LOW,grade2,20.8,0.0,0.014489,2025-11-17
S00095,61,19,test,0.0,0.0031614470338399,LOW,grade2,39.1,0.0,0.014083,2025-12-02
S00096,5,19,train,0.0,0.0036242783326147,MED,grade3,44.1,0.0,0.014545,2025-10-07
S00097,60,18,test,0.0,0.0035774491726341,LOW,grade2,27.1,0.0,0.014499,2025-12-01
S00098,5,9,train,0.0,0.0036016994481703,MED,grade3,31.1,0.0,0.014523,2025-10-07
S00099,6,7,train,0.002429023161249,0.002903148183189,LOW,grade1,12.6,0.0,0.013824,2025-10-09
S00100,62,13,test,0.0,0.0036227176646048,MED,grade3,47.9,0.0,0.014544,2025-12-02
S00101,6,12,train,0.0047811447811447,0.0034625162946981,LOW,grade2,46.4,0.0,0.014384,2025-10-09
S00102,62,7,test,0.0,0.0036001829626198,MED,grade3,26.0,0.0,0.014521,2025-12-02
S00103,4,18,train,0.0023947190902958,0.0034797345202044,LOW,grade2,26.1,0.0,0.014401,2025-10-05
S00104,34,6,val,0.0,0.0036026316996195,MED,grade3,20.8,0.0,0.014524,2025-11-17
S00105,34,18,val,0.0,0.0035934876878678,MED,grade3,50.7,0.0,0.014515,2025-11-17
S00106,6,18,train,0.0,0.0035931211141021,MED,grade3,31.9,0.0,0.014514,2025-10-09
S00107,62,11,test,0.0,0.0035653061571919,LOW,grade2,22.1,0.0,0.014487,2025-12-02
S00108,6,10,train,0.0,0.0035522235280812,LOW,grade2,21.2,0.0,0.014473,2025-10-09
S00109,7,11,train,0.0024466006035276,0.0029284557668246,LOW,grade1,24.4,0.0,0.01385,2025-10-10
S00110,63,11,test,0.0047981772718934,0.0029095154552701,LOW,grade1,26.1,0.0,0.013831,2025-12-03
S00111,6,10,train,0.0,0.0035549498050721,LOW,grade2,26.9,0.0,0.014476,2025-10-09
S00112,63,11,test,0.0,0.003456554248284,LOW,grade2,14.5,0.0,0.014378,2025-12-03
S00113,6,11,train,0.0,0.0035803531710194,LOW,grade2,34.8,0.0,0.014502,2025-10-09
S00114,5,25,train,0.0,0.0029070202950665,LOW,grade1,17.5,0.0,0.013828,2025-10-07
S00115,63,22,test,0.0,0.0029881064855332,LOW,grade2,36.9,0.0,0.013909,2025-12-03
S00116,7,5,train,0.0,0.0036095735634092,MED,grade3,20.3,0.0,0.014531,2025-10-10
S00117,63,24,test,0.0,0.0034445547579312,LOW,grade2,35.5,0.0,0.014366,2025-12-03
S00118,63,21,test,0.0,0.0034939350065779,LOW,grade2,25.9,0.0,0.014415,2025-12-03
S00119,34,13,val,0.0,0.0036040248566047,MED,grade3,41.7,0.0,0.014525,2025-11-17
S00120,7,16,train,0.0,0.0034224894322126,LOW,grade2,38.1,0.0,0.014344,2025-10-10
S00121,6,17,train,0.0,0.0035938737413653,MED,grade3,16.8,0.0,0.014515,2025-10-09
S00122,7,16,train,0.0,0.003168416884031,LOW,grade2,25.5,0.0,0.01409,2025-10-10
S00123,7,24,train,0.0120079634300735,0.0034641281373275,LOW,grade2,48.8,0.0,0.014385,2025-10-10
S00124,6,17,train,0.0,0.0034115256950202,LOW,grade2,38.0,0.0,0.014333,2025-10-09
S00125,74,19,test,0.0024487704413206,0.0034631408901867,LOW,grade2,24.1,0.0,0.014384,2025-12-09
S00126,18,6,train,0.0145181549966406,0.0022142447824715,LOW,grade1,32.2,0.0,0.013135,2025-10-28
S00127,18,11,train,0.0,0.0034387637498935,LOW,grade2,41.3,0.0,0.01436,2025-10-28
S00128,18,19,train,0.0023878847281078,0.0034868667465046,LOW,grade2,38.3,0.0,0.014408,2025-10-28
S00129,18,24,train,0.0071621056878935,0.0018398207875612,LOW,grade1,57.9,0.0,0.012761,2025-10-28
S00130,18,9,train,0.0048756321399316,0.0034871186441181,LOW,grade2,19.7,0.0,0.014408,2025-10-28
S00131,18,3,train,0.0,0.0034762019546238,LOW,grade2,30.4,0.0,0.014397,2025-10-28
S00132,18,9,train,0.0,0.0029902771651574,LOW,grade2,30.9,0.0,0.013911,2025-10-28
S00133,18,9,train,0.0,0.0029583583922917,LOW,grade1,9.0,0.0,0.01388,2025-10-28
S00134,18,11,train,0.0,0.0034667555652607,LOW,grade2,30.9,0.0,0.014388,2025-10-28
S00135,19,24,train,0.0024002704530087,0.0034320544930652,LOW,grade2,39.7,0.0,0.014353,2025-10-29
S00136,2,22,train,0.0024124339857098,0.0029572997349977,LOW,grade1,18.8,0.0,0.013879,2025-10-02
S00137,2,1,train,0.0,0.0029119371110193,LOW,grade1,33.4,0.0,0.013833,2025-10-02
S00138,10,20,train,0.0024209654634906,0.0029476681699302,LOW,grade1,19.7,0.0,0.013869,2025-10-15
S00139,19,24,train,0.0023857183316292,0.0034644563576066,LOW,grade2,26.1,0.0,0.014386,2025-10-29
S00140,48,11,val,0.0048299319727891,0.0029814139325134,LOW,grade1,47.1,0.0,0.013903,2025-11-25
S00141,38,11,val,0.0,0.0029343516402849,LOW,grade1,21.7,0.0,0.013856,2025-11-19
S00142,2,17,train,0.0023883666839667,0.0035113414221533,LOW,grade2,19.1,0.0,0.014433,2025-10-02
S00143,30,17,val,0.0,0.0029164869253647,LOW,grade1,16.3,0.0,0.013838,2025-11-15
S00144,21,8,train,0.0,0.0013798197228728,LOW,grade1,48.1,0.0,0.012301,2025-11-02
S00145,2,17,train,0.0048074365336157,0.0029138813239091,LOW,grade1,23.0,0.0,0.013835,2025-10-02
S00146,2,1,train,0.0,0.0035163096488534,LOW,grade2,22.9,0.0,0.014438,2025-10-02
S00147,30,5,val,0.0,0.0034815737100442,LOW,grade2,43.7,0.0,0.014403,2025-11-15
S00148,2,17,train,0.0023848940713548,0.003506190460047,LOW,grade2,26.0,0.0,0.014427,2025-10-02
S00149,2,17,train,0.0,0.0029902595706053,LOW,grade2,18.3,0.0,0.013911,2025-10-02
S00150,21,10,train,0.0024284534611569,0.0004772751540042,LOW,grade1,42.7,0.0,0.011398,2025-11-02
S00151,2,9,train,0.0,0.0018542453818419,LOW,grade1,29.4,0.0,0.012775,2025-10-02
S00152,18,25,train,0.0,0.0004687129240233,LOW,grade1,23.1,0.0,0.01139,2025-10-28
S00153,2,7,train,0.0,0.0011092866577806,LOW,grade1,34.5,0.0,0.01203,2025-10-02
S00154,2,15,train,0.0024048348309115,0.0018111352550903,LOW,grade1,15.5,0.0,0.012732,2025-10-02
S00155,2,10,train,0.0,0.0010920990340756,LOW,grade1,16.2,0.0,0.012013,2025-10-02
S00156,2,11,train,0.0,0.0014217234144466,LOW,grade1,10.4,0.0,0.012343,2025-10-02
S00157,10,7,train,0.0023905723905723,0.0021773375959337,LOW,grade1,18.0,0.0,0.013099,2025-10-15
S00158,2,11,train,0.0,0.0013809051723133,LOW,grade1,23.8,0.0,0.012302,2025-10-02
S00159,46,25,val,0.0044285835215704,0.0011175239806007,LOW,grade1,32.3,0.0,0.012039,2025-11-24
S00160,38,18,val,0.0098232506658365,0.0029470158364492,LOW,grade1,17.5,0.0,0.013868,2025-11-19
S00161,37,11,val,0.0,0.0034765990354328,LOW,grade2,21.1,0.0,0.014398,2025-11-19
S00162,2,23,train,0.0,0.0029463539784876,LOW,grade1,44.0,0.0,0.013868,2025-10-02
S00163,65,11,test,0.0,0.0034336419137761,LOW,grade2,33.9,0.0,0.014355,2025-12-04
S00164,18,19,train,0.0,0.0029054973935885,LOW,grade1,55.3,0.0,0.013827,2025-10-28
S00165,2,23,train,0.0,0.0030126311992226,LOW,grade2,13.1,0.0,0.013934,2025-10-02
S00166,2,23,train,0.0,0.0034827214620511,LOW,grade2,13.5,0.0,0.014404,2025-10-02
S00167,36,5,val,0.0087514251880808,0.0035948080242801,MED,grade3,32.9,0.0,0.014516,2025-11-18
S00168,8,10,train,0.0044468304030778,0.0035649936121808,LOW,grade2,36.0,0.0,0.014486,2025-10-12
S00169,8,5,train,0.002185201306724,0.0035252625042914,LOW,grade2,16.7,0.0,0.014446,2025-10-12
S00170,8,5,train,0.0,0.0035888960809742,MED,grade3,37.0,0.0,0.01451,2025-10-12
S00171,8,10,train,0.002232734493277,0.0035738483497429,LOW,grade2,24.9,0.0,0.014495,2025-10-12
S00172,64,10,test,0.0022320125387907,0.0035726451636613,LOW,grade2,25.9,0.0,0.014494,2025-12-03
S00173,36,20,val,0.0,0.003594085107059,MED,grade3,43.1,0.0,0.014515,2025-11-18
S00174,8,20,train,0.0,0.0036074943717834,MED,grade3,44.8,0.0,0.014529,2025-10-12
S00175,8,21,train,0.0,0.003597338381008,MED,grade3,25.9,0.0,0.014519,2025-10-12
S00176,78,22,test,0.0,0.0030692305189857,LOW,grade2,37.5,0.0,0.01399,2025-12-11
S00177,22,19,train,0.0043713251623854,0.0035540559779094,LOW,grade2,36.8,0.0,0.014475,2025-11-03
S00178,22,19,train,0.0,0.0035714689490907,LOW,grade2,31.5,0.0,0.014493,2025-11-03
S00179,78,19,test,0.0043735177778657,0.0035628221393038,LOW,grade2,33.0,0.0,0.014484,2025-12-11
S00180,22,22,train,0.0,0.0030399681442734,LOW,grade2,44.6,0.0,0.013961,2025-11-03
S00181,22,22,train,0.0,0.0030523702896671,LOW,grade2,47.3,0.0,0.013974,2025-11-03
S00182,50,24,val,0.0,0.0035061991758918,LOW,grade2,28.6,0.0,0.014427,2025-11-26
S00183,22,22,train,0.0,0.0030063895473508,LOW,grade2,75.2,0.0,0.013928,2025-11-03
S00184,78,25,test,0.0,0.0034865235968393,LOW,grade2,22.3,0.0,0.014408,2025-12-11
S00185,22,24,train,0.0,0.0036056919106997,MED,grade3,34.1,0.0,0.014527,2025-11-03
S00186,22,25,train,0.0,0.0035078598854762,LOW,grade2,26.6,0.0,0.014429,2025-11-03
S00187,22,11,train,0.0023849627379564,0.0021759629810056,LOW,grade1,33.8,0.0,0.013097,2025-11-03
S00188,22,24,train,0.0,0.0034752442076174,LOW,grade2,38.1,0.0,0.014396,2025-11-03
S00189,22,11,train,0.0,0.0017868918583856,LOW,grade1,35.7,0.0,0.012708,2025-11-03
S00190,78,11,test,0.0,0.003027012381543,LOW,grade2,34.3,0.0,0.013948,2025-12-11
S00191,22,9,train,0.0,0.0025076347457794,LOW,grade1,36.2,0.0,0.013429,2025-11-03
S00192,22,8,train,0.0,0.0025359923440729,LOW,grade1,56.3,0.0,0.013457,2025-11-03
S00193,22,9,train,0.0,0.0024953610382529,LOW,grade1,32.1,0.0,0.013417,2025-11-03
S00194,22,8,train,0.0023942345675443,0.0013843299208589,LOW,grade1,30.6,0.0,0.012306,2025-11-03
S00195,78,16,test,0.0044657097288676,0.0029734297031595,LOW,grade1,30.3,0.0,0.013895,2025-12-11
S00196,78,3,test,0.0021767599125792,0.0013037119684202,LOW,grade1,32.6,0.0,0.012225,2025-12-11
S00197,78,3,test,0.002389503492906,0.0014312230145742,LOW,grade1,41.3,0.0,0.012352,2025-12-11
S00198,78,3,test,0.0,0.0018557022226609,LOW,grade1,20.1,0.0,0.012777,2025-12-11
S00199,9,6,train,0.0,0.0030403190234157,LOW,grade2,28.7,0.0,0.013962,2025-10-13
S00200,65,6,test,0.0,0.0035088931665278,LOW,grade2,29.4,0.0,0.01443,2025-12-04
S00201,9,6,train,0.0,0.0029572837151468,LOW,grade1,16.2,0.0,0.013878,2025-10-13
S00202,9,6,train,0.0,0.0034273743252848,LOW,grade2,28.6,0.0,0.014349,2025-10-13
S00203,73,9,test,0.0,0.0034200567738364,LOW,grade2,42.9,0.0,0.014341,2025-12-08
S00204,45,3,val,0.0,0.0034041436353585,LOW,grade2,37.3,0.0,0.014325,2025-11-23
S00205,9,24,train,0.0024191978193146,0.0034344977087893,LOW,grade2,34.0,0.0,0.014356,2025-10-13
S00206,17,3,train,0.0,0.0029860690729451,LOW,grade2,40.0,0.0,0.013907,2025-10-26
S00207,17,3,train,0.0024246859373094,0.0036067601850691,MED,grade3,15.7,0.0,0.014528,2025-10-26
S00208,9,12,train,0.0,0.0034538308489762,LOW,grade2,28.8,0.0,0.014375,2025-10-13
S00209,78,14,test,0.0047990807394639,0.0005886258550877,LOW,grade1,30.3,0.0,0.01151,2025-12-11
S00210,9,12,train,0.0,0.0034675726967813,LOW,grade2,37.8,0.0,0.014389,2025-10-13
S00211,17,15,train,0.0024002356770644,0.0035968487399019,MED,grade3,28.3,0.0,0.014518,2025-10-26
S00212,31,14,val,0.0,0.0021639460691753,LOW,grade1,26.5,0.0,0.013085,2025-11-16
S00213,31,8,val,0.0,0.0018379020438652,LOW,grade1,22.6,0.0,0.012759,2025-11-16
S00214,3,16,train,0.0,0.0025372014243928,LOW,grade1,17.1,0.0,0.013458,2025-10-04
S00215,59,24,test,0.0,0.0030389640328118,LOW,grade2,39.1,0.0,0.01396,2025-12-01
S00216,3,14,train,0.0,0.002214599860872,LOW,grade1,29.4,0.0,0.013136,2025-10-04
S00217,3,22,train,0.0,0.0021942687435161,LOW,grade1,31.1,0.0,0.013115,2025-10-04
S00218,5,22,train,0.0,0.0036012367224351,MED,grade3,34.7,0.0,0.014522,2025-10-07
S00219,63,10,test,0.0072566397523689,0.003442524142872,LOW,grade2,20.2,0.0,0.014364,2025-12-03
S00220,5,10,train,0.0048111362800333,0.0035941697774043,MED,grade3,34.1,0.0,0.014515,2025-10-07
S00221,7,23,train,0.0024405814181889,0.0036076564149043,MED,grade3,34.5,0.0,0.014529,2025-10-10
S00222,61,22,test,0.0,0.0029143292177949,LOW,grade1,38.4,0.0,0.013836,2025-12-02
S00223,5,4,train,0.0,0.0034050087009269,LOW,grade2,35.5,0.0,0.014326,2025-10-07
S00224,61,10,test,0.0191383874849578,0.0034213119278205,LOW,grade2,21.8,0.0,0.014343,2025-12-02
S00225,61,10,test,0.0024036485159767,0.0034973067945583,LOW,grade2,40.2,0.0,0.014419,2025-12-02
S00226,5,4,train,0.0,0.0035406923552982,LOW,grade2,12.9,0.0,0.014462,2025-10-07
S00227,10,6,train,0.0,0.0014321834004113,LOW,grade1,32.4,0.0,0.012353,2025-10-15
S00228,38,6,val,0.0,0.0011575410874893,LOW,grade1,30.6,0.0,0.012079,2025-11-19
S00229,4,10,train,0.0,0.0031539563782274,LOW,grade2,31.4,0.0,0.014075,2025-10-05
S00230,32,10,val,0.004417365490332,0.0036020150447927,MED,grade3,29.4,0.0,0.014523,2025-11-16
S00231,69,18,test,0.0,0.0029378958077929,LOW,grade1,37.6,0.0,0.013859,2025-12-06
S00232,41,21,val,0.0021826965305226,0.0028959216967323,LOW,grade1,38.5,0.0,0.013817,2025-11-21
S00233,12,23,train,0.0,0.0018332253015722,LOW,grade1,33.1,0.0,0.012754,2025-10-18
S00234,41,21,val,0.0,0.003075709781195,LOW,grade2,33.7,0.0,0.013997,2025-11-21
S00235,40,19,val,0.0,0.0021423459122237,LOW,grade1,34.4,0.0,0.013064,2025-11-20
S00236,40,19,val,0.0022395861497143,0.0021591178273801,LOW,grade1,28.5,0.0,0.01308,2025-11-20
S00237,12,19,train,0.0,0.0025552867844315,LOW,grade1,35.3,0.0,0.013476,2025-10-18
S00238,17,25,train,0.0,0.0006720827750861,LOW,grade1,25.0,0.0,0.011593,2025-10-26
S00239,37,9,val,0.0024128556170501,0.0021505947052572,LOW,grade1,40.3,0.0,0.013072,2025-11-19
S00240,38,14,val,0.0,0.0012936047912711,LOW,grade1,32.2,0.0,0.012215,2025-11-19
S00241,66,14,test,0.0024159520892881,0.0025351744236362,LOW,grade1,43.1,0.0,0.013456,2025-12-04
S00242,37,9,val,0.0,0.0025143810178092,LOW,grade1,27.0,0.0,0.013436,2025-11-19
S00243,66,17,test,0.0,0.0021631767838589,LOW,grade1,46.1,0.0,0.013084,2025-12-04
S00244,66,17,test,0.0,0.001070147719293,LOW,grade1,40.7,0.0,0.011991,2025-12-04
S00245,10,7,train,0.0,0.0010953137227799,LOW,grade1,25.3,0.0,0.012017,2025-10-15
S00246,65,22,test,0.002409661920069,0.0029270110880032,LOW,grade1,19.4,0.0,0.013848,2025-12-04
S00247,9,22,train,0.0,0.0031634919255418,LOW,grade2,27.9,0.0,0.014085,2025-10-13
S00248,10,2,train,0.0048394556829523,0.0025429881124379,LOW,grade1,28.0,0.0,0.013464,2025-10-15
S00249,10,2,train,0.0072902762090563,0.0029574800941208,LOW,grade1,32.0,0.0,0.013879,2025-10-15
S00250,38,2,val,0.0,0.0025149405585488,LOW,grade1,12.0,0.0,0.013436,2025-11-19
S00251,65,14,test,0.0,0.0028981282345975,LOW,grade1,22.7,0.0,0.013819,2025-12-04
S00252,2,16,train,0.0,0.00179864465501,LOW,grade1,55.1,0.0,0.01272,2025-10-02
S00253,9,14,train,0.0,0.0025414949657096,LOW,grade1,24.7,0.0,0.013463,2025-10-13
S00254,58,13,test,0.0,0.0021532456056706,LOW,grade1,14.2,0.0,0.013074,2025-11-30
S00255,58,13,test,0.0,0.0029953803590134,LOW,grade2,16.9,0.0,0.013917,2025-11-30
S00256,58,16,test,0.0,0.0021998773623764,LOW,grade1,17.0,0.0,0.013121,2025-11-30
S00257,20,14,train,0.0122792453576052,0.0022026263169829,LOW,grade1,42.1,0.0,0.013124,2025-10-31
S00258,23,7,train,0.004889013491513,0.0021739327442185,LOW,grade1,20.5,0.0,0.013095,2025-11-05
S00259,23,6,train,0.0,0.0029224686406591,LOW,grade1,17.3,0.0,0.013844,2025-11-05
S00260,23,7,train,0.0,0.0030404584938454,LOW,grade2,29.6,0.0,0.013962,2025-11-05
S00261,23,6,train,0.0,0.0029213471383027,LOW,grade1,33.0,0.0,0.013843,2025-11-05
S00262,23,7,train,0.0,0.0031654319191253,LOW,grade2,26.2,0.0,0.014087,2025-11-05
S00263,51,6,val,0.0,0.0029720518821032,LOW,grade1,34.0,0.0,0.013893,2025-11-26
S00264,23,6,train,0.0,0.0029054048073167,LOW,grade1,34.4,0.0,0.013827,2025-11-05
S00265,23,5,train,0.0021986286219862,0.0029420243869183,LOW,grade1,27.9,0.0,0.013863,2025-11-05
