ufs_serial,run_id,wafer_no,split,health,reg_pred,risk
S00064,16,11,train,0.0,0.003739818825506815,MED
S00065,16,13,train,0.0,0.0037094327238428497,MED
S00068,16,14,train,0.0096413121496052,0.003202863856042122,MED
S00069,13,8,train,0.0024141213958187,0.0042513565815992796,HIGH
S00071,16,13,train,0.0,0.003244631960413177,MED
S00072,13,10,train,0.0,0.002739160106438691,MED
S00075,13,6,train,0.0,0.0032814431451804018,MED
S00079,13,4,train,0.0,0.003937523204853575,MED
S00080,13,10,train,0.0024551575598599,0.00272547043391448,MED
S00081,13,5,train,0.0048692551117381,0.003904346387296203,MED
S00084,5,21,train,0.0,0.00385584217513881,MED
S00086,5,20,train,0.0,0.0032478638340368063,MED
S00087,6,13,train,0.0071833265884257,0.0035903935878555606,MED
S00092,4,22,train,0.0,0.0026599258951292026,MED
S00096,5,19,train,0.0,0.00339885984972886,MED
S00098,5,9,train,0.0,0.004223653935535168,HIGH
S00099,6,7,train,0.002429023161249,0.0023443767729379346,MED
S00101,6,12,train,0.0047811447811447,0.0029761007417381424,MED
S00103,4,18,train,0.0023947190902958,0.0039505036824551976,HIGH
S00106,6,18,train,0.0,0.004362903426132991,HIGH
S00108,6,10,train,0.0,0.003574533580275792,MED
S00109,7,11,train,0.0024466006035276,0.003648949542491684,MED
S00111,6,10,train,0.0,0.004735690664963159,HIGH
S00113,6,11,train,0.0,0.004073295255884062,HIGH
S00114,5,25,train,0.0,0.003981639405991581,HIGH
S00116,7,5,train,0.0,0.0032163281287705793,MED
S00120,7,16,train,0.0,0.003437192286617281,MED
S00121,6,17,train,0.0,0.003814848267505321,MED
S00122,7,16,train,0.0,0.003500095361714226,MED
S00123,7,24,train,0.0120079634300735,0.0022580387447740653,MED
S00124,6,17,train,0.0,0.003912684151199036,MED
S00126,18,6,train,0.0145181549966406,0.002818738687651054,MED
S00127,18,11,train,0.0,0.0032818041525996262,MED
S00128,18,19,train,0.0023878847281078,0.0034709125850677747,MED
S00129,18,24,train,0.0071621056878935,0.0013913334222504907,MED
S00130,18,9,train,0.0048756321399316,0.0033267079540468653,MED
S00131,18,3,train,0.0,0.0023499294480787488,MED
S00132,18,9,train,0.0,0.003732160029315396,MED
S00133,18,9,train,0.0,0.003594049500806742,MED
S00134,18,11,train,0.0,0.0033708008279195417,MED
S00135,19,24,train,0.0024002704530087,0.004404506939164733,HIGH
S00136,2,22,train,0.0024124339857098,0.0032565462254758714,MED
S00137,2,1,train,0.0,0.003102605564521991,MED
S00138,10,20,train,0.0024209654634906,0.0025102131898876727,MED
S00139,19,24,train,0.0023857183316292,0.0029863499254288986,MED
S00142,2,17,train,0.0023883666839667,0.0035259612433468047,MED
S00144,21,8,train,0.0,0.003249620218612091,MED
S00145,2,17,train,0.0048074365336157,0.003547740853606561,MED
S00146,2,1,train,0.0,0.002808404742395338,MED
S00148,2,17,train,0.0023848940713548,0.002354522697680537,MED
S00149,2,17,train,0.0,0.003093224154523465,MED
S00150,21,10,train,0.0024284534611569,0.0015973003790684427,MED
S00151,2,9,train,0.0,0.0016501979316677414,MED
S00152,18,25,train,0.0,0.0015904638968909136,MED
S00153,2,7,train,0.0,0.0023194718070301927,MED
S00154,2,15,train,0.0024048348309115,0.002880986242518812,MED
S00155,2,10,train,0.0,0.0026763150056036814,MED
S00156,2,11,train,0.0,0.0025030645005078753,MED
S00157,10,7,train,0.0023905723905723,0.002251612135557387,MED
S00158,2,11,train,0.0,0.002980455798265819,MED
S00162,2,23,train,0.0,0.0031727411445412923,MED
S00164,18,19,train,0.0,0.0024798406802200947,MED
S00165,2,23,train,0.0,0.003350049176553344,MED
S00166,2,23,train,0.0,0.002992467672630299,MED
S00168,8,10,train,0.0044468304030778,0.003431469819807243,MED
S00169,8,5,train,0.002185201306724,0.004353151853690264,HIGH
S00170,8,5,train,0.0,0.00416404190941991,HIGH
S00171,8,10,train,0.002232734493277,0.002208080381420923,MED
S00174,8,20,train,0.0,0.004469409751641361,HIGH
S00175,8,21,train,0.0,0.003966323842835723,HIGH
S00177,22,19,train,0.0043713251623854,0.003680719186633405,MED
S00178,22,19,train,0.0,0.003400595638516909,MED
S00180,22,22,train,0.0,0.0029473730992422985,MED
S00181,22,22,train,0.0,0.0031169841741240634,MED
S00183,22,22,train,0.0,0.0025284256647811155,MED
S00185,22,24,train,0.0,0.0042231147722632855,HIGH
S00186,22,25,train,0.0,0.0032329861122350977,MED
S00187,22,11,train,0.0023849627379564,0.0033161357779981715,MED
S00188,22,24,train,0.0,0.0032619246870294687,MED
S00189,22,11,train,0.0,0.0021085373010708884,MED
S00191,22,9,train,0.0,0.0018032598397902267,MED
S00192,22,8,train,0.0,0.0024576543605366536,MED
S00193,22,9,train,0.0,0.0029151938043487174,MED
S00194,22,8,train,0.0023942345675443,0.0022804579462873294,MED
S00199,9,6,train,0.0,0.0037641532541489255,MED
S00201,9,6,train,0.0,0.004169264283159682,HIGH
S00202,9,6,train,0.0,0.003057894905183049,MED
S00205,9,24,train,0.0024191978193146,0.0035330283098879817,MED
S00206,17,3,train,0.0,0.0030663995839351815,MED
S00207,17,3,train,0.0024246859373094,0.00374354902702598,MED
S00208,9,12,train,0.0,0.0033985126231431805,MED
S00210,9,12,train,0.0,0.003472246497875462,MED
S00211,17,15,train,0.0024002356770644,0.005233551811127087,HIGH
S00214,3,16,train,0.0,0.0026131765506306184,MED
S00216,3,14,train,0.0,0.0028875261673264436,MED
S00217,3,22,train,0.0,0.003031982287125482,MED
S00218,5,22,train,0.0,0.0038383436329955415,MED
S00220,5,10,train,0.0048111362800333,0.003829112504120334,MED
S00221,7,23,train,0.0024405814181889,0.003946881061421238,HIGH
S00223,5,4,train,0.0,0.003795763926371095,MED
S00226,5,4,train,0.0,0.003778465098909047,MED
S00227,10,6,train,0.0,0.0022036989381944263,MED
S00229,4,10,train,0.0,0.0034118347149478807,MED
S00233,12,23,train,0.0,0.0021841972835634467,MED
S00237,12,19,train,0.0,0.0030432618241395754,MED
S00238,17,25,train,0.0,0.0019787483660886184,MED
S00245,10,7,train,0.0,0.0022792982231366267,MED
S00247,9,22,train,0.0,0.003183354047002221,MED
S00248,10,2,train,0.0048394556829523,0.003366437291749458,MED
S00249,10,2,train,0.0072902762090563,0.0032274860678855625,MED
S00252,2,16,train,0.0,0.0024032606606849203,MED
S00253,9,14,train,0.0,0.00409626331375704,HIGH
S00257,20,14,train,0.0122792453576052,0.0023434774305793283,MED
S00258,23,7,train,0.004889013491513,0.0038406881456612236,MED
S00259,23,6,train,0.0,0.003475218734323047,MED
S00260,23,7,train,0.0,0.0031236092656523004,MED
S00261,23,6,train,0.0,0.002546034468210132,MED
S00262,23,7,train,0.0,0.0032155386787665707,MED
S00264,23,6,train,0.0,0.002802239580086649,MED
S00265,23,5,train,0.0021986286219862,0.0021385877858556388,MED
S00267,23,3,train,0.0022214176846302,0.003344269617768487,MED
S00268,23,7,train,0.0,0.003845627173229697,MED
S00269,23,7,train,0.0,0.0035843409701539954,MED
S00270,23,7,train,0.0021931566452205,0.0035446977686123104,MED
S00271,23,1,train,0.0,0.003143078216817172,MED
S00273,23,5,train,0.0023947190902958,0.0020641206912620836,MED
S00275,23,1,train,0.0,0.002508957035017948,MED
S00277,4,10,train,0.0,0.0032305192502777645,MED
S00278,4,10,train,0.0024270303793883,0.0037934622970025853,MED
S00283,13,21,train,0.0,0.0017148393773316214,MED
S00284,13,15,train,0.0,0.0032902704498494442,MED
S00289,24,4,train,0.0,0.0035173396527878884,MED
S00290,24,12,train,0.0024540301396377,0.0033522845767147147,MED
S00294,14,13,train,0.0,0.003531983235309568,MED
S00296,13,10,train,0.0,0.003220137926882279,MED
S00297,25,4,train,0.0048750582407611,0.0031255404067067082,MED
S00302,9,14,train,0.0,0.003602342588466924,MED
S00303,2,13,train,0.0044147169073886,0.0020924270913963527,MED
S00308,9,9,train,0.0,0.003195466463340541,MED
S00309,10,1,train,0.0021791077496437,0.0035094923085164918,MED
S00310,10,1,train,0.0156605896916497,0.003343428372740522,MED
S00311,10,3,train,0.0,0.002344123581149911,MED
S00312,10,3,train,0.0022374990433228,0.00285662643439185,MED
S00313,10,14,train,0.0,0.0025460671724976984,MED
S00314,10,24,train,0.0021928953719759,0.0020428854911759323,MED
S00315,9,22,train,0.0021781336418657,0.003340092962406577,MED
S00316,10,24,train,0.0,0.00241041927243404,MED
S00318,10,14,train,0.0022137295775651,0.002832171819010145,MED
S00319,10,24,train,0.0021892730027839,0.002868643581845102,MED
S00321,26,16,train,0.0,0.001504137669693102,MED
S00323,24,16,train,0.0,0.002403676173405811,MED
S00324,24,18,train,0.002440437609255,0.0025732288459070934,MED
S00325,24,18,train,0.0,0.0032020922177719703,MED
S00326,24,10,train,0.0,0.0034304123546293353,MED
S00327,24,15,train,0.0044787484736659,0.0028187955208682346,MED
S00328,24,10,train,0.0,0.0032037011689407587,MED
S00329,24,10,train,0.0021770745724698,0.002518823717146965,MED
S00331,24,11,train,0.0,0.0035141077484559156,MED
S00332,24,14,train,0.0,0.0026788092279948906,MED
S00334,24,13,train,0.0072413089722295,0.003454128878430764,MED
S00335,24,13,train,0.0,0.003106391775532161,MED
S00336,24,13,train,0.0,0.0021776257725761275,MED
S00339,24,16,train,0.0,0.0036176584148586858,MED
S00340,24,11,train,0.0,0.0037281401362496344,MED
S00341,24,23,train,0.0,0.0036283749669708,MED
S00342,24,21,train,0.0239999227366672,0.0020113486719100407,MED
S00343,24,18,train,0.0071593200806683,0.003411687456729156,MED
S00344,24,22,train,0.0,0.0032773323321936827,MED
S00347,24,17,train,0.0,0.003497420216652153,MED
S00349,24,18,train,0.0,0.0038038632714995327,MED
S00350,24,13,train,0.0022072702240579,0.0030477515276254364,MED
S00351,10,7,train,0.0,0.002862402827302763,MED
S00352,2,20,train,0.0,0.003321878773443443,MED
S00354,4,16,train,0.0047855643499528,0.0028639977893973804,MED
S00356,6,22,train,0.0,0.0029999795709128563,MED
S00357,4,22,train,0.0,0.003680389288161997,MED
S00358,8,8,train,0.0,0.003641377515692395,MED
S00360,8,10,train,0.0,0.004618201311616768,HIGH
S00361,8,25,train,0.0024229128580134,0.003700941747340434,MED
S00362,8,5,train,0.0,0.004600159073874247,HIGH
S00363,6,19,train,0.0,0.0032890519071790583,MED
S00366,10,21,train,0.0044445636815653,0.0027929823077290934,MED
S00369,9,3,train,0.0,0.002801344727282809,MED
S00371,9,2,train,0.0087046378029984,0.0035983433055626333,MED
S00373,10,21,train,0.0023894345645892,0.0023162689904147916,MED
S00376,9,2,train,0.0022044799290308,0.002847291185485396,MED
S00377,9,2,train,0.0066640743372799,0.002779105093321751,MED
S00378,10,25,train,0.0,0.003125514307043871,MED
S00379,10,25,train,0.0024318042813455,0.002570443571781123,MED
S00380,9,4,train,0.0,0.003313024927332573,MED
S00383,8,6,train,0.0,0.0036432553682534626,MED
S00384,9,4,train,0.0043461531734788,0.002832760872359871,MED
S00388,10,5,train,0.0,0.004062420509441428,HIGH
S00389,10,9,train,0.0120899864747837,0.0019003482467908237,MED
S00390,10,4,train,0.0,0.003147135219973626,MED
S00393,8,5,train,0.0,0.004154352386162414,HIGH
S00395,10,8,train,0.0,0.0032618756785306345,MED
S00396,10,8,train,0.0,0.0026989770928758003,MED
S00398,10,13,train,0.0,0.003387208925123811,MED
S00400,8,4,train,0.0,0.0035211377660087865,MED
S00402,10,25,train,0.0,0.0024756024048888056,MED
S00403,10,13,train,0.0043498619334567,0.0029714480720432284,MED
S00404,10,13,train,0.0,0.0034633748907551376,MED
S00405,10,16,train,0.0,0.0020885088162355177,MED
S00406,10,21,train,0.0,0.002724376148584291,MED
S00408,3,8,train,0.0022408584697236,0.002725018483894525,MED
S00409,3,6,train,0.002175502182068,0.002987881324235749,MED
S00410,3,3,train,0.0,0.003234408143945233,MED
S00411,1,23,train,0.0,0.00036767309044407416,MED
S00412,1,2,train,0.0,0.0004713131363376322,MED
S00416,1,13,train,0.0,0.002642527663411416,MED
S00417,5,23,train,0.0065888903619249,0.003553055706574519,MED
S00420,8,25,train,0.0067010031280336,0.003668557056606737,MED
S00423,8,17,train,0.0022000593174946,0.003522219519716069,MED
S00429,8,11,train,0.0,0.00447912994445096,HIGH
S00430,8,21,train,0.0065350023668016,0.003866027670073217,MED
S00432,8,12,train,0.0,0.003350184427051851,MED
S00434,8,13,train,0.002191705914519,0.002947833488530118,MED
S00435,8,13,train,0.0,0.004369827331381077,HIGH
S00436,8,18,train,0.0,0.00445067165495687,HIGH
S00438,26,16,train,0.0,0.0015274206961036281,MED
S00439,4,10,train,0.0,0.002833486745242921,MED
S00440,27,1,train,0.0122367980460517,0.0011411080870920676,MED
S00441,23,20,train,0.0,0.001272639898871227,MED
S00446,26,3,train,0.0,0.002495057371312715,MED
S00448,21,24,train,0.012265971677205,0.003131725701772426,MED
S00450,21,1,train,0.0,0.004654318657701123,HIGH
S00452,21,24,train,0.0048683965637152,0.0024654017641984206,MED
S00453,21,19,train,0.0024367761990213,0.0029640797322662274,MED
S00454,21,16,train,0.0,0.0016791187138065708,MED
S00455,21,4,train,0.0,0.0025561462884840258,MED
S00456,19,25,train,0.0,0.0015980236912021542,MED
S00457,21,19,train,0.0047714366632584,0.002331329098666877,MED
S00461,28,23,train,0.0,0.0026756675589392947,MED
S00462,16,10,train,0.0,0.0018621653528912224,MED
S00463,28,23,train,0.0,0.002416365522026941,MED
S00464,16,3,train,0.0,0.0010906124727153167,MED
S00465,28,25,train,0.0,0.0018368860533721646,MED
S00467,28,23,train,0.0047907539412867,0.003640633163751524,MED
S00469,28,20,train,0.0024476488781198,0.0022025217146446406,MED
S00470,16,10,train,0.0,0.0012565279099121828,MED
S00472,28,25,train,0.0,0.00347997009286555,MED
S00473,16,8,train,0.0,0.0012675282247463556,MED
S00475,23,15,train,0.0,0.0023391421869667713,MED
S00476,23,14,train,0.0048258518065386,0.0026275740142490543,MED
S00478,28,22,train,0.0,0.002368153652290784,MED
S00482,23,14,train,0.0,0.002731548806363395,MED
S00483,23,14,train,0.0,0.002543646846132441,MED
S00484,28,16,train,0.0,0.0027138693566474575,MED
S00485,28,14,train,0.0,0.0018417061483473691,MED
S00486,23,10,train,0.0023937848290876,0.0014244426986745103,MED
S00487,23,14,train,0.0047925556278778,0.002661485859230734,MED
S00488,23,10,train,0.0024354507544016,0.0015979671092588939,MED
S00491,23,9,train,0.0,0.0022469514908692524,MED
S00493,28,5,train,0.0,0.0010077738671156538,MED
S00495,24,17,train,0.0,0.0033471061344357783,MED
S00497,24,19,train,0.0043514615044499,0.002771471545642717,MED
S00498,24,22,train,0.0,0.0028283487153789094,MED
S00499,24,21,train,0.0,0.002833945774928435,MED
S00500,24,22,train,0.0021848266645565,0.002914026033896954,MED
S00501,5,10,train,0.0021832142888519,0.003236373381565105,MED
S00502,5,22,train,0.0022247289590775,0.0021564829938970484,MED
S00503,5,10,train,0.0,0.0028998279357704358,MED
S00505,5,10,train,0.0,0.003669248236080867,MED
S00510,5,16,train,0.0022227290819726,0.003309804222552318,MED
S00512,7,17,train,0.0043474647807241,0.002920214072251464,MED
S00513,5,4,train,0.0,0.0039867785212857505,HIGH
S00514,5,4,train,0.0,0.003864577472726813,MED
S00515,5,4,train,0.0065527516282994,0.004446240756422646,HIGH
S00516,5,4,train,0.0,0.0040863142436345055,HIGH
S00518,7,10,train,0.0,0.003508947930771548,MED
S00519,12,10,train,0.0,0.0034101770145500174,MED
S00520,12,10,train,0.0,0.0034123843163631393,MED
S00521,14,8,train,0.004380398378283,0.003205606712384622,MED
S00522,12,14,train,0.0,0.003947852310684243,HIGH
S00523,12,10,train,0.0,0.003413621100606466,MED
S00524,12,10,train,0.0073659093266936,0.0031585826027456577,MED
S00525,12,10,train,0.0022026334100044,0.0028932168607501245,MED
S00527,14,16,train,0.0022325840475805,0.0026930626535088386,MED
S00529,14,8,train,0.0022204351516776,0.004170140044709802,HIGH
S00531,14,16,train,0.0,0.0017487105605101427,MED
S00537,14,14,train,0.0,0.0035344677528331113,MED
S00538,14,16,train,0.0,0.003890322593437088,MED
S00539,14,13,train,0.0,0.0025450540396445877,MED
S00540,14,10,train,0.0043980160257686,0.003476384877974055,MED
S00543,14,7,train,0.0024125042473666,0.0029135726122754713,MED
S00545,14,12,train,0.0,0.003788437301450521,MED
S00547,14,14,train,0.0024299851365094,0.0027187109573623084,MED
S00548,14,5,train,0.0022212091958954,0.004188511862920288,HIGH
S00550,14,12,train,0.0048952977562397,0.0026874263261855405,MED
S00551,14,4,train,0.0,0.0039238108863271165,MED
S00552,14,6,train,0.0021787351938066,0.002434170285374658,MED
S00553,14,14,train,0.0,0.0037034827292275647,MED
S00554,14,4,train,0.0,0.0025594861962036104,MED
S00555,14,4,train,0.0,0.003175201404625787,MED
S00557,14,6,train,0.0086994954467681,0.0033929678202456503,MED
S00558,14,1,train,0.0,0.0035279264379816867,MED
S00559,14,5,train,0.0,0.0031776313540361548,MED
S00560,14,6,train,0.0,0.0033952892207456896,MED
S00561,14,1,train,0.0,0.0033637572510289595,MED
S00562,14,1,train,0.0109444848164541,0.003618017960229657,MED
S00564,14,2,train,0.0,0.0031774690701738212,MED
S00565,14,2,train,0.0,0.0040154587768850575,HIGH
S00566,14,2,train,0.0,0.004565541306272983,HIGH
S00567,14,2,train,0.0,0.004007256118142969,HIGH
S00568,14,2,train,0.0,0.004680526190279063,HIGH
S00570,15,9,train,0.0022028091356744,0.0005515162506009903,MED
S00571,15,14,train,0.0,0.0009108142955714537,MED
S00574,14,24,train,0.0,0.0010238901558211806,MED
S00577,15,23,train,0.0,0.0006300897254550911,MED
S00579,14,22,train,0.0,0.0015735031166216344,MED
S00580,24,4,train,0.0022136704169895,0.0036136356203670117,MED
S00581,24,15,train,0.0,0.0025660087770974834,MED
S00582,24,5,train,0.0022362909068002,0.003761762374212901,MED
S00583,11,21,train,0.0,0.0032087791141680775,MED
S00584,11,4,train,0.0,0.0011366339865505866,MED
S00585,11,3,train,0.0,0.0020339034381740904,MED
S00586,11,4,train,0.0,0.0008888333482466174,MED
S00587,11,5,train,0.0,0.0017701513860542946,MED
S00588,11,4,train,0.0,0.0011231181087005397,MED
S00589,11,4,train,0.0,0.0015542335249087303,MED
S00590,11,11,train,0.0,0.0021232274021521927,MED
S00593,11,10,train,0.0,0.0019882413043164943,MED
S00594,11,3,train,0.0,0.001322634369633775,MED
S00598,27,3,train,0.0,0.0016300993869257624,MED
S00599,2,19,train,0.0,0.0023428570608184894,MED
S00600,9,22,train,0.0,0.0023473231920822526,MED
S00603,20,9,train,0.0,0.0014206416986176614,MED
S00605,6,22,train,0.0,0.002894802584418389,MED
S00606,5,7,train,0.0,0.002314870995952283,MED
S00607,4,16,train,0.0,0.0037930272249261125,MED
S00612,5,25,train,0.0,0.0028464401933113934,MED
S00614,5,9,train,0.0,0.0033115868019669877,MED
S00616,5,5,train,0.0,0.0041089972843841365,HIGH
S00617,25,8,train,0.0,0.004575182246939423,HIGH
S00618,25,11,train,0.0,0.00474312393084393,HIGH
S00619,25,15,train,0.0,0.003804727084811566,MED
S00621,25,10,train,0.0,0.004416889870129386,HIGH
S00624,25,7,train,0.0,0.00466444528737844,HIGH
S00626,25,24,train,0.0,0.004092342249559026,HIGH
S00629,25,9,train,0.0,0.004455068814894415,HIGH
S00630,25,23,train,0.0,0.004027587954506992,HIGH
S00632,3,22,train,0.0,0.001627539667545771,MED
S00634,7,23,train,0.0,0.0026080010513390476,MED
S00635,7,17,train,0.0,0.0020770181369522216,MED
S00636,3,6,train,0.0,0.002288432529313271,MED
S00637,3,8,train,0.0,0.003199493390800621,MED
S00638,24,15,train,0.0,0.003454339250862591,MED
S00639,24,7,train,0.0,0.0035201633667704692,MED
S00640,24,7,train,0.0,0.004385563778584257,HIGH
S00642,1,18,train,0.0,0.0012644135133475013,MED
S00643,1,19,train,0.0,0.0009720272227018982,MED
S00644,1,18,train,0.0,0.001105412625085188,MED
S00645,1,18,train,0.0,0.0010790523663944532,MED
S00646,1,18,train,0.0,0.0005402159593517106,MED
S00647,1,24,train,0.0,0.0006842371894696905,MED
S00648,1,23,train,0.0,0.0005137024144361027,MED
S00651,1,1,train,0.0,0.0006862717596805478,MED
S00654,1,11,train,0.0,0.0010362378220415732,MED
S00656,1,13,train,0.0,0.0017974469618758531,MED
S00657,1,8,train,0.0,0.0008504270420774793,MED
S00658,1,10,train,0.0,0.0008244155838837118,MED
S00660,28,21,train,0.0,0.003357333772721111,MED
S00661,16,1,train,0.0,0.0021210942075304156,MED
S00662,28,25,train,0.0,0.00237830383677494,MED
S00664,28,23,train,0.0,0.0019149855056700476,MED
S00666,28,4,train,0.0,0.001327561549226673,MED
S00667,28,8,train,0.0,0.0017105079042528987,MED
S00668,28,5,train,0.0,0.0012417169523090434,MED
S00670,28,10,train,0.0,0.001565586088353368,MED
S00671,28,5,train,0.0,0.0011394026706655098,MED
S00673,28,14,train,0.0,0.00203794665324382,MED
S00676,26,8,train,0.0,0.001492676537734357,MED
S00677,26,8,train,0.0,0.001883134463142882,MED
S00679,17,18,train,0.0,0.0035063658389463746,MED
S00683,17,24,train,0.0,0.003882370844295072,MED
S00685,25,24,train,0.0,0.004242914399622465,HIGH
S00686,23,9,train,0.0,0.004058949108276439,HIGH
S00687,23,7,train,0.0,0.0027310226800009284,MED
S00689,21,1,train,0.0,0.0035857022515219496,MED
S00690,21,16,train,0.0,0.0020903036401544632,MED
S00691,21,16,train,0.0,0.002755673042238918,MED
S00692,21,19,train,0.0,0.0027240526906078416,MED
S00693,21,24,train,0.0,0.002473891979589878,MED
S00698,8,15,train,0.0,0.004662344884092296,HIGH
S00700,8,10,train,0.0,0.003564092536147514,MED
S00702,23,17,train,0.0,0.0006923386959345412,MED
S00703,27,1,train,0.0,0.0011937054244946122,MED
S00705,23,21,train,0.0,0.001195874382608044,MED
S00706,23,20,train,0.0,0.0006958284890755153,MED
S00707,23,20,train,0.0,0.0009854919620302775,MED
S00708,23,19,train,0.0,0.0010490498189875733,MED
S00711,23,23,train,0.0,0.0007021785492806635,MED
S00713,27,1,train,0.0,0.0010151425679644967,MED
S00717,26,1,train,0.0,0.002875221765189833,MED
S00718,21,4,train,0.0,0.001381684243594755,MED
S00719,19,19,train,0.0,0.003280603817801625,MED
S00720,20,5,train,0.0,0.0020556541223040632,MED
S00722,21,4,train,0.0,0.0024376490010927826,MED
S00726,21,2,train,0.0,0.0035622238363202134,MED
S00727,28,25,train,0.0,0.0013426129989253252,MED
S00728,28,24,train,0.0,0.0034270085911139087,MED
S00729,28,19,train,0.0,0.0018262210329230593,MED
S00731,28,15,train,0.0,0.0017763544134724591,MED
S00732,28,19,train,0.0,0.002996606779600355,MED
S00733,28,20,train,0.0,0.0032251772246679115,MED
S00735,16,10,train,0.0,0.001988364784888872,MED
S00736,16,1,train,0.0,0.0019882723227431964,MED
S00737,16,10,train,0.0,0.0014521303933075662,MED
S00738,16,6,train,0.0,0.002490262726516795,MED
S00740,16,3,train,0.0,0.0004227395914655983,MED
S00741,16,7,train,0.0,0.0018807966355461308,MED
S00742,16,10,train,0.0,0.001624719229368675,MED
S00747,16,4,train,0.0,0.0016547869199576319,MED
S00748,23,10,train,0.0,0.0026904936868533216,MED
S00752,23,14,train,0.0,0.002901322052306483,MED
S00754,23,12,train,0.0,0.002634279664940044,MED
S00755,28,5,train,0.0,0.0011813083524839613,MED
S00757,26,14,train,0.0,0.0004656015228953111,MED
S00758,26,11,train,0.0,0.0016580612044930175,MED
S00761,26,14,train,0.0,0.0009959478303850251,MED
S00763,22,22,train,0.0,0.002401210154495963,MED
S00769,22,17,train,0.0,0.002512944545540383,MED
S00771,22,14,train,0.0,0.0014780754038890744,MED
S00772,17,9,train,0.0,0.004932530331271511,HIGH
S00773,22,6,train,0.0,0.0019250697371835553,MED
S00774,17,3,train,0.0,0.0034255284440729426,MED
S00777,13,17,train,0.0,0.002634893909498395,MED
S00778,12,23,train,0.0,0.0019616790141959634,MED
S00781,10,24,train,0.0,0.0025573429780741353,MED
S00782,10,14,train,0.0,0.0029917455776573144,MED
S00784,10,2,train,0.0,0.0037773741076251406,MED
S00786,2,21,train,0.0,0.0031183831420788454,MED
S00787,10,2,train,0.0,0.0031455538868998176,MED
S00788,9,22,train,0.0,0.003405682410846995,MED
S00789,2,15,train,0.0,0.0029789033890830195,MED
S00791,3,18,train,0.0,0.0032150415262739572,MED
S00792,3,21,train,0.0,0.002978720808823082,MED
S00793,3,21,train,0.0,0.003084442920608967,MED
S00794,3,15,train,0.0,0.0038669826821888,MED
S00795,3,2,train,0.0,0.0030879099209518215,MED
S00797,24,22,train,0.0,0.003245619262755174,MED
S00798,22,22,train,0.0,0.0012142215669057647,MED
S00800,24,7,train,0.0,0.0037943916384893662,MED
S00801,24,18,train,0.0,0.0027366197952625525,MED
S00803,24,22,train,0.0,0.002708305928878166,MED
S00805,24,21,train,0.0,0.0023577006268461994,MED
S00809,8,19,train,0.0,0.003234766887233144,MED
S00815,9,4,train,0.0,0.0036753433382184465,MED
S00816,8,4,train,0.0,0.003020763695097764,MED
S00817,9,2,train,0.0,0.0034219591545289604,MED
S00818,9,4,train,0.0,0.002359586844353854,MED
S00819,10,5,train,0.0,0.0037727548599724835,MED
S00820,10,5,train,0.0,0.0031427688496586718,MED
S00822,10,5,train,0.0,0.0031323441731595293,MED
S00824,8,4,train,0.0,0.0034412624824147328,MED
